Leeftijd;Perioden;Regio's;Bevolking op 1 januari (aantal)
0 jaar;2022;Kantens;
0 jaar;2023;Kantens;
0 jaar;2022;Kapelle;129
0 jaar;2023;Kapelle;119
0 jaar;2022;Katwijk;759
0 jaar;2023;Katwijk;709
0 jaar;2022;Katwoude;
0 jaar;2023;Katwoude;
0 jaar;2022;Kerkrade;367
0 jaar;2023;Kerkrade;352
0 jaar;2022;Kerkwijk;
0 jaar;2023;Kerkwijk;
0 jaar;2022;Kessel;
0 jaar;2023;Kessel;
0 jaar;2022;Kesteren;
0 jaar;2023;Kesteren;
0 jaar;2022;Kloosterburen;
0 jaar;2023;Kloosterburen;
0 jaar;2022;Klundert;
0 jaar;2023;Klundert;
0 jaar;2022;Kockengen;
0 jaar;2023;Kockengen;
0 jaar;2022;Koggenland;249
0 jaar;2023;Koggenland;249
0 jaar;2022;Kollumerland en Nieuwkruisland;
0 jaar;2023;Kollumerland en Nieuwkruisland;
0 jaar;2022;Korendijk;
0 jaar;2023;Korendijk;
0 jaar;2022;Kortgene;
0 jaar;2023;Kortgene;
0 jaar;2022;Koudekerk aan den Rijn;
0 jaar;2023;Koudekerk aan den Rijn;
0 jaar;2022;Krimpen aan den IJssel;319
0 jaar;2023;Krimpen aan den IJssel;296
0 jaar;2022;Krimpenerwaard;644
0 jaar;2023;Krimpenerwaard;590
0 jaar;2022;Laarbeek;246
0 jaar;2023;Laarbeek;231
0 jaar;2022;Land van Cuijk;817
0 jaar;2023;Land van Cuijk;834
0 jaar;2022;Landerd;
0 jaar;2023;Landerd;
0 jaar;2022;Landgraaf;280
0 jaar;2023;Landgraaf;287
0 jaar;2022;Landsmeer;108
0 jaar;2023;Landsmeer;91
0 jaar;2022;Langbroek;
0 jaar;2023;Langbroek;
0 jaar;2022;Langedijk;
0 jaar;2023;Langedijk;
0 jaar;2022;Lansingerland;759
0 jaar;2023;Lansingerland;662
0 jaar;2022;Laren (NH.);86
0 jaar;2023;Laren (NH.);90
0 jaar;2022;Leek;
0 jaar;2023;Leek;
0 jaar;2022;Leende;
0 jaar;2023;Leende;
0 jaar;2022;Leens;
0 jaar;2023;Leens;
0 jaar;2022;Leerdam;
0 jaar;2023;Leerdam;
0 jaar;2022;Leersum;
0 jaar;2023;Leersum;
0 jaar;2022;Leeuwarden;1279
0 jaar;2023;Leeuwarden;1184
0 jaar;2022;Leeuwarderadeel;
0 jaar;2023;Leeuwarderadeel;
0 jaar;2022;Leiden;1068
0 jaar;2023;Leiden;988
0 jaar;2022;Leiderdorp;245
0 jaar;2023;Leiderdorp;269
0 jaar;2022;Leidschendam;
0 jaar;2023;Leidschendam;
0 jaar;2022;Leidschendam-Voorburg;755
0 jaar;2023;Leidschendam-Voorburg;719
0 jaar;2022;Leimuiden;
0 jaar;2023;Leimuiden;
0 jaar;2022;Lelystad;874
0 jaar;2023;Lelystad;887
0 jaar;2022;Lemsterland;
0 jaar;2023;Lemsterland;
0 jaar;2022;Leudal;286
0 jaar;2023;Leudal;291
0 jaar;2022;Leusden;305
0 jaar;2023;Leusden;275
0 jaar;2022;Lichtenvoorde;
0 jaar;2023;Lichtenvoorde;
0 jaar;2022;Liemeer;
0 jaar;2023;Liemeer;
0 jaar;2022;Liempde;
0 jaar;2023;Liempde;
0 jaar;2022;Lienden;
0 jaar;2023;Lienden;
0 jaar;2022;De Lier;
